vCar,NGear,gLong,gLat,sRun,tRun,aSteerNeutral,xCar,yCar,gSum,rPedal
0,1,0,11.2890005112,0,0,4.644462470755825,-166.9385986328,26.7820186615,11.2890005112,100
14.561159501112398,1,4.8449001312,14.0496606827,0.9991776943,0.2366265655,6.118466809513311,-166.0423278809,26.7555389404,14.8615617752,100
15.841486273930979,1,0.7544852495,17.8706912994,1.9983553886,0.4636558592,7.128930971495815,-165.0445251465,26.8162555695,17.8866100311,100
15.846376902778475,1,1.5930937529,15.4748468399,2.997533083,0.6745790243,6.180814059968008,-164.055847168,26.961523056,15.5566329956,100
18.261178475617218,1,5.9673666954,12.7948675156,3.9967107773,0.8461534977,4.837170705958825,-163.0802307129,27.1766967773,14.1180057526,100
23.668567605425913,1,10.0953359604,9.91822052,4.9958882332,0.9820636511,3.4241415957310823,-162.1180877686,27.4455356598,14.1522760391,100
29.263997890041686,1,11.450633049,6.3395066261,5.9950661659,1.0958498716,2.005212274991063,-161.167175293,27.7517242432,13.0884046555,100
33.96046057895153,1,11.2291288376,2.0612895489,6.9942436218,1.1959320307,0.6034305096282324,-160.2234344482,28.0795211792,11.4167528152,100
37.92123469281224,1,10.7877368927,-2.8675093651,7.9934215546,1.2866532803,-0.783119447770787,-159.2818908691,28.4137763977,11.1623420715,100
41.377389993808,1,9.2567062378,-8.4387702942,8.9925985336,1.37112391,-2.1637040378970678,-158.3373565674,28.7396221161,12.5259504318,100
43.78917891229687,1,5.3333187103,-13.9795465469,9.9917764664,1.4525233507,-3.4706413091274313,-157.3850860596,29.0420665741,14.9623527527,100
44.59080256895794,1,1.8502111435,-17.3161907196,10.9909543991,1.5329390764,-4.296327298377488,-156.4214782715,29.3057441711,17.4147548676,100
44.87012630481895,1,0.5351880193,-17.4377784729,11.9901323318,1.6130774021,-4.279756407832365,-155.4454193115,29.518081665,17.4459896088,100
44.90056870918502,1,2.2828338146,-15.2208395004,12.9893093109,1.6920728683,-3.7350057031079764,-154.4599914551,29.6813831329,15.3910779953,100
46.16895987587209,1,6.7855949402,-13.2836847305,13.9884872437,1.7679386139,-3.107625506077074,-153.4684906006,29.8026123047,14.9164533615,100
48.657337172850255,1,9.1838960648,-11.2376775742,14.9876651764,1.8400822878,-2.504128991710843,-152.4732666016,29.8887062073,14.5130748749,100
51.061469999783995,1,9.1198453903,-9.0335979462,15.9868431091,1.9090224504,-1.9244367480588773,-151.4759216309,29.946428299,12.8365678787,100
53.29089631684295,1,8.8645343781,-6.6745033264,16.9860210419,1.9752258062,-1.3634580508410177,-150.477432251,29.9823169708,11.0963487625,100
55.375378749576996,1,8.6367454529,-4.1377468109,17.9851970673,2.0390539169,-0.8126803973400707,-149.4784088135,30.0027141571,9.5767593384,100
57.33480253619796,1,8.4229335785,-1.3796198368,18.984375,2.1007957458,-0.26113496893449234,-148.4791259766,30.0138549805,8.5351724625,100
59.18376231487014,1,8.2166929245,1.5832651854,19.9835529327,2.1606879234,0.2894217176631846,-147.479675293,30.0219841003,8.3678417206,100
60.93342293306165,1,8.0181016922,4.2000322342,20.9827308655,2.2189264297,0.742918660486768,-146.4801330566,30.033498764,9.0515317917,100
62.594197361202106,1,6.671394825,5.7334413528,21.9819087982,2.2758865356,0.9830804405755612,-145.4807281494,30.0544509888,8.796582222,100
63.705903014637585,1,8.0104703903,6.2804894447,22.981086731,2.3314259052,1.0645592617421142,-144.4817352295,30.0870113373,10.1790065765,100
65.8251777476978,1,10.4198455811,6.1632876396,23.9802646637,2.3852596283,1.1026081112208692,-143.4833526611,30.1317138672,12.1061677933,100
67.80974647236282,1,10.0452671051,5.970181942,24.9794425964,2.4375896454,1.1297096623728655,-142.4857330322,30.1889801025,11.6854810715,100
69.66542507217993,1,9.6997499466,5.7068109512,25.9786186218,2.4885811806,1.145249618498054,-141.489074707,30.2591094971,11.2540149689,100
71.4183609864712,1,2.588799715,5.3816838264,26.9777965546,2.5392296314,1.1488635383316859,-140.4935302734,30.3422603607,5.971968174,100
70.62127605317916,1,-8.6145982742,5.0062160492,27.9769744873,2.5910434723,1.140720140755693,-139.4992980957,30.4384555817,9.9636087418,0
68.22294194248643,1,-12.7936992645,4.5933713913,28.97615242,2.6447365284,1.1215230408608081,-138.5065307617,30.5475769043,13.5932998657,0
65.7623428673257,1,-12.6366014481,4.1572318077,29.9753303528,2.7005016804,1.0924078639152919,-137.5153503418,30.66938591,13.3028669357,0
63.24419607816313,1,-12.4739179611,3.5885636806,30.9745082855,2.7585675716,1.0195674185639452,-136.525894165,30.80352211,12.9798469543,0
60.65121872142502,1,-12.3102388382,2.3276853561,31.9736862183,2.8192074299,0.7191171055924511,-135.5382232666,30.9495353699,12.5283718109,0
57.98440643247485,1,-12.0069532394,0.1338531375,32.9728622437,2.8827195168,0.04524565775183407,-134.5518951416,31.1053562164,12.0076999664,0
55.28691484638812,1,-11.5034732819,-2.2890820503,33.9720420837,2.9494035244,-0.8510349541799954,-133.5653381348,31.2621231079,11.7290143967,0
52.59603221817422,1,-10.8561286926,-4.4050045013,34.9712181091,3.0195627213,-1.8090453972464893,-132.5769500732,31.4094200134,11.7157840729,0
49.94321718638625,1,-10.1019496918,-6.2550435066,35.9703941345,3.0934963226,-2.84749497799407,-131.5854644775,31.5365715027,11.8817062378,0
47.36126048139161,1,-9.229352951,-7.9700303078,36.9695739746,3.1714689732,-4.031146055657158,-130.5901031494,31.6318950653,12.1943569183,0
44.902889569008344,1,-8.1807184219,-9.6489372253,37.96875,3.2536334991,-5.421905763160122,-129.5912475586,31.6819190979,12.6501436234,0
