0.08729168,100,,0.08729168,100
0.165351763,100,,0.165351763,100
0.23722899,100,,0.23722899,100
0.304522902,100,,0.304522902,100
0.371086866,100,,0.371086866,100
0.44051525,0,,0.44051525,0
0.513321102,0,,0.513321102,0
0.589730501,0,,0.589730501,0
0.670003593,0,,0.670003593,0
0.75442493,0,,0.75442493,0
0.843231857,0,,0.843231857,0
0.936441183,0,,0.936441183,0
1.033282518,0,,1.033282518,0
1.131335735,0,,1.131335735,0
1.229131699,100,,1.229131699,100
1.326510549,100,,1.326510549,100
1.42096293,100,,1.42096293,100
1.508823991,100,,1.508823991,100
1.589017272,100,,1.589017272,100
1.665547133,100,,1.665547133,100
1.744367003,0,,1.744367003,0
1.828304052,0,,1.828304052,0
1.917026043,0,,1.917026043,0
2.009276629,0,,2.009276629,0
2.102395296,0,,2.102395296,0
2.195053339,100,,2.195053339,100
2.287171602,100,,2.287171602,100
2.376593351,100,,2.376593351,100
2.460742712,100,,2.460742712,100
2.538775206,100,,2.538775206,100
2.611931801,100,,2.611931801,100
2.683933735,100,,2.683933735,100
2.758858919,0,,2.758858919,0
2.838518858,0,,2.838518858,0
2.923276424,0,,2.923276424,0
3.013138294,0,,3.013138294,0
3.107480526,0,,3.107480526,0
3.203367472,0,,3.203367472,0
3.298784494,100,,3.298784494,100
3.393601656,100,,3.393601656,100
3.485703468,100,,3.485703468,100
3.572555304,100,,3.572555304,100
3.653045416,100,,3.653045416,100
3.727484465,100,,3.727484465,100
3.796882868,100,,3.796882868,100
3.862349033,100,,3.862349033,100
3.926626682,100,,3.926626682,100
3.992418766,0,,3.992418766,0
4.060034752,0,,4.060034752,0
4.12898922,0,,4.12898922,0
4.198502064,0,,4.198502064,0
4.267891407,100,,4.267891407,100
4.337155819,100,,4.337155819,100
4.406293392,100,,4.406293392,100
4.474927425,100,,4.474927425,100
4.542581558,100,,4.542581558,100
4.608781815,100,,4.608781815,100
4.67299223,100,,4.67299223,100
4.734787464,100,,4.734787464,100
4.79530859,100,,4.79530859,100
4.857199669,0,,4.857199669,0
4.922047138,0,,4.922047138,0
4.98999548,0,,4.98999548,0
5.061002731,0,,5.061002731,0
5.134676933,0,,5.134676933,0
5.209537983,0,,5.209537983,0
5.284203053,100,,5.284203053,100
5.358672142,100,,5.358672142,100
5.432203293,100,,5.432203293,100
5.50278759,100,,5.50278759,100
5.569498539,100,,5.569498539,100
5.632793427,100,,5.632793427,100
5.693287373,100,,5.693287373,100
5.751424789,100,,5.751424789,100
5.807540417,100,,5.807540417,100
5.861896038,100,,5.861896038,100
5.9147048,100,,5.9147048,100
5.966142654,100,,5.966142654,100
6.016352654,100,,6.016352654,100
6.065452576,100,,6.065452576,100
6.113541126,100,,6.113541126,100
6.160700798,100,,6.160700798,100
6.207004547,100,,6.207004547,100
6.2525177,100,,6.2525177,100
6.297296047,100,,6.297296047,100
6.341391087,100,,6.341391087,100
6.384848118,100,,6.384848118,100
6.427707195,100,,6.427707195,100
6.470003605,100,,6.470003605,100
6.511770248,100,,6.511770248,100
6.55303669,100,,6.55303669,100
6.593828678,100,,6.593828678,100
6.634166718,100,,6.634166718,100
6.674071312,100,,6.674071312,100
6.713560104,100,,6.713560104,100
6.752649784,100,,6.752649784,100
6.79135704,100,,6.79135704,100
6.829741478,100,,6.829741478,100
6.868361473,0,,6.868361473,0
6.90781641,0,,6.90781641,0
6.948208809,0,,6.948208809,0
6.989563942,0,,6.989563942,0
7.031902313,0,,7.031902313,0
7.075237751,0,,7.075237751,0
7.119577885,0,,7.119577885,0
7.164922714,0,,7.164922714,0
7.211261749,0,,7.211261749,0
7.25857544,0,,7.25857544,0
7.30683279,0,,7.30683279,0
7.355992794,0,,7.355992794,0
7.406003475,0,,7.406003475,0
7.456819058,0,,7.456819058,0
7.508485317,0,,7.508485317,0
7.561242104,0,,7.561242104,0
7.615485668,0,,7.615485668,0
7.671645641,0,,7.671645641,0
7.730108261,0,,7.730108261,0
7.791187763,0,,7.791187763,0
7.855126858,0,,7.855126858,0
7.922093868,0,,7.922093868,0
7.992146015,0,,7.992146015,0
8.065138817,0,,8.065138817,0
8.140646935,0,,8.140646935,0
8.217579842,0,,8.217579842,0
8.294514656,100,,8.294514656,100
8.371147156,100,,8.371147156,100
8.44758606,100,,8.44758606,100
8.522927284,100,,8.522927284,100
8.595912933,100,,8.595912933,100
8.665966988,100,,8.665966988,100
8.733097076,100,,8.733097076,100
8.797440529,100,,8.797440529,100
8.859178543,100,,8.859178543,100
8.918514252,100,,8.918514252,100
8.975698471,100,,8.975698471,100
9.030997276,100,,9.030997276,100
9.084644318,100,,9.084644318,100
9.136833191,100,,9.136833191,100
9.18874073,100,,9.18874073,100
9.242013931,0,,9.242013931,0
9.297311783,0,,9.297311783,0
9.35474968,0,,9.35474968,0
9.414434433,0,,9.414434433,0
9.47647953,0,,9.47647953,0
9.541000366,0,,9.541000366,0
9.608115196,0,,9.608115196,0
9.677913666,0,,9.677913666,0
9.750426292,0,,9.750426292,0
9.825557709,0,,9.825557709,0
9.90299511,0,,9.90299511,0
9.982117653,0,,9.982117653,0
10.06172276,0,,10.06172276,0
10.14116287,100,,10.14116287,100
10.22027111,100,,10.22027111,100
10.29786873,100,,10.29786873,100
10.37249756,100,,10.37249756,100
10.44341469,100,,10.44341469,100
10.51058483,100,,10.51058483,100
10.57437038,100,,10.57437038,100
10.63529682,100,,10.63529682,100
10.69382095,100,,10.69382095,100
10.75028706,100,,10.75028706,100
10.80496311,100,,10.80496311,100
10.85806465,100,,10.85806465,100
10.91009426,100,,10.91009426,100
10.96249294,0,,10.96249294,0
11.01662922,0,,11.01662922,0
11.07292461,0,,11.07292461,0
11.13159561,0,,11.13159561,0
11.19289398,0,,11.19289398,0
11.25708961,0,,11.25708961,0
11.32444668,0,,11.32444668,0
11.3951292,0,,11.3951292,0
11.4690485,0,,11.4690485,0
11.54570675,0,,11.54570675,0
11.62325287,0,,11.62325287,0
11.70049,100,,11.70049,100
11.77747726,100,,11.77747726,100
11.85311604,100,,11.85311604,100
11.92577171,100,,11.92577171,100
11.99487114,100,,11.99487114,100
12.06341934,100,,12.06341934,100
12.1349535,0,,12.1349535,0
12.21009159,0,,12.21009159,0
12.28807545,0,,12.28807545,0
12.36687946,0,,12.36687946,0
12.44536686,100,,12.44536686,100
12.52322769,100,,12.52322769,100
12.60098934,100,,12.60098934,100
12.68187904,0,,12.68187904,0
12.76788807,0,,12.76788807,0
12.85596371,0,,12.85596371,0
12.94364071,100,,12.94364071,100
13.03104305,100,,13.03104305,100
13.1160965,100,,13.1160965,100
13.19569397,100,,13.19569397,100
13.26952744,100,,13.26952744,100
13.34102345,100,,13.34102345,100
13.41258144,100,,13.41258144,100
13.48402596,100,,13.48402596,100
13.55535889,100,,13.55535889,100
13.62592506,100,,13.62592506,100
13.69437408,100,,13.69437408,100
13.76258659,100,,13.76258659,100
13.83379078,0,,13.83379078,0
13.90886784,0,,13.90886784,0
13.98762798,0,,13.98762798,0
14.06946278,0,,14.06946278,0
14.15300083,0,,14.15300083,0
14.23653412,100,,14.23653412,100
14.31970501,100,,14.31970501,100
14.40270805,100,,14.40270805,100
14.4847002,100,,14.4847002,100
14.56464291,100,,14.56464291,100
14.64207935,100,,14.64207935,100
14.71655464,100,,14.71655464,100
14.78736973,100,,14.78736973,100
14.85620594,100,,14.85620594,100
14.92686176,0,,14.92686176,0
15.00139713,0,,15.00139713,0
15.07975006,0,,15.07975006,0
15.16143417,0,,15.16143417,0
15.24426174,0,,15.24426174,0
15.32673836,100,,15.32673836,100
15.40896225,100,,15.40896225,100
15.48957539,100,,15.48957539,100
15.56642151,100,,15.56642151,100
15.63845539,100,,15.63845539,100
15.70606995,100,,15.70606995,100
15.77007866,100,,15.77007866,100
15.83115482,100,,15.83115482,100
15.88977718,100,,15.88977718,100
15.94630623,100,,15.94630623,100
16.00101852,100,,16.00101852,100
16.05414009,100,,16.05414009,100
16.10585594,100,,16.10585594,100
16.15631294,100,,16.15631294,100
16.20563507,100,,16.20563507,100
16.25392342,100,,16.25392342,100
16.30126381,100,,16.30126381,100
16.34773445,100,,16.34773445,100
16.39339828,100,,16.39339828,100
16.43831825,100,,16.43831825,100
16.48254395,100,,16.48254395,100
16.52612495,100,,16.52612495,100
16.56909943,100,,16.56909943,100
16.6115036,100,,16.6115036,100
16.65337181,100,,16.65337181,100
16.69473457,100,,16.69473457,100
16.73561478,100,,16.73561478,100
16.77604294,100,,16.77604294,100
16.81663895,0,,16.81663895,0
16.85816002,0,,16.85816002,0
16.90078926,0,,16.90078926,0
16.94460106,0,,16.94460106,0
16.98967743,0,,16.98967743,0
17.03611565,0,,17.03611565,0
17.0840168,0,,17.0840168,0
17.13350487,0,,17.13350487,0
17.18471909,0,,17.18471909,0
17.23781776,0,,17.23781776,0
17.29298401,0,,17.29298401,0
17.35042763,0,,17.35042763,0
17.41038704,0,,17.41038704,0
17.47315025,0,,17.47315025,0
17.53906441,0,,17.53906441,0
17.60852814,0,,17.60852814,0
17.68197441,0,,17.68197441,0
17.75984192,0,,17.75984192,0
17.84258461,0,,17.84258461,0
17.93066597,0,,17.93066597,0
18.02446175,0,,18.02446175,0
18.12401962,0,,18.12401962,0
18.22811317,0,,18.22811317,0
18.33331108,0,,18.33331108,0
18.43792152,100,,18.43792152,100
18.54181099,100,,18.54181099,100
18.64149284,100,,18.64149284,100
18.73549461,100,,18.73549461,100
18.8290062,100,,18.8290062,100
18.9272995,0,,18.9272995,0
19.03083992,0,,19.03083992,0
19.13605881,0,,19.13605881,0
19.2407093,100,,19.2407093,100
19.34444046,100,,19.34444046,100
19.44484329,100,,19.44484329,100
19.53957558,100,,19.53957558,100
19.62741852,100,,19.62741852,100
19.70809174,100,,19.70809174,100
19.78232765,100,,19.78232765,100
19.85185051,100,,19.85185051,100
19.92074966,100,,19.92074966,100
19.99291801,0,,19.99291801,0
20.06964684,0,,20.06964684,0
20.15173721,0,,20.15173721,0
20.24014091,0,,20.24014091,0
20.335886,0,,20.335886,0
20.4399395,0,,20.4399395,0
20.55321884,0,,20.55321884,0
20.67702103,0,,20.67702103,0
20.81315422,0,,20.81315422,0
20.95843506,0,,20.95843506,0
21.1037159,100,,21.1037159,100
21.24685097,100,,21.24685097,100
21.387537,100,,21.387537,100
21.51939583,100,,21.51939583,100
21.63731384,100,,21.63731384,100
21.74074364,100,,21.74074364,100
21.83449745,100,,21.83449745,100
21.92894173,0,,21.92894173,0
