vCar,gLong,gLat,sRun,tRun,IDraw,RInternal,rSoc,ECapacity,QCellDischarge,VCell,VBattery,xCar,yCar
0,0,28.2335681915,0,0,0,0.1381396651,1,7429.2211914062,0,0,590.6400146484,-9377234,5171270
0.8888665657467474,5.0203309059,12.5106487274,4.9983296394,0.9738070369,5.5025339127,0.1381396651,0.9999620914,7428.939453125,0,0,588.8425292969,-9377239,5171270.5
36.06706327894938,5.7170963287,16.57746315,9.9966592789,1.4564394951,144.2566223145,0.1381407827,0.9990213513,7421.9506835938,0,0,552.7138061523,-9377243,5171270
38.49888163065469,0.7028377056,18.7523155212,14.9949884415,1.9237672091,144.7403717041,0.1381682903,0.9981042147,7415.13671875,0,0,552.5979614258,-9377248,5171268
38.50905427571657,1.2680140734,16.3160114288,19.9933185577,2.3677248955,144.7707061768,0.1381951272,0.9972243309,7408.6000976562,0,0,552.5824584961,-9377251,5171264
42.55258970652823,4.576318264,15.4060945511,24.9916477203,2.7497124672,144.7747802734,0.1382208765,0.996424973,7402.6611328125,0,0,552.573059082,-9377254,5171260
51.65976091843126,7.5591473579,14.6365375519,29.9899768829,3.0680344105,144.7772216797,0.1382442564,0.9957031012,7397.2983398438,0,0,552.5648803711,-9377255,5171255
61.39540452735637,8.3629646301,12.3243379593,34.9883041382,3.3428890705,144.7793884277,0.1382653713,0.9950383902,7392.3603515625,0,0,552.557434082,-9377255,5171250
69.53908239961407,7.8253726959,8.1183052063,39.9866371155,3.5899274349,144.7813262939,0.1382848173,0.9944149852,7387.728515625,0,0,552.5505981445,-9377255,5171245
76.13837216410226,7.0199794769,3.5391285419,44.9849662781,3.8181116581,144.7831115723,0.1383030564,0.9938225746,7383.3276367188,0,0,552.5441894531,-9377255,5171240
81.57604405316475,7.2222061157,-0.5430130363,49.9832954407,4.0308747292,144.7847900391,0.1383204013,0.9932249188,7378.8876953125,0,0,552.5381469727,-9377254,5171235
87.56950697067441,-0.3127087653,-4.6864557266,54.9816246033,4.24426651,0,0.1383378804,0.9932249188,7378.8876953125,0,0,590.5748291016,-9377253,5171230
81.077890002088,-8.02348423,-9.642575264,59.9799537659,4.475194931,0,0.1383378804,0.9932249188,7378.8876953125,0,0,590.5748291016,-9377253,5171225
74.76249359560512,-3.5447897911,-14.9621181488,64.9782791138,4.7151732445,0,0.1383378804,0.9932249188,7378.8876953125,0,0,590.5748291016,-9377253,5171220
75.20055248003801,0.2535318434,-21.3056850433,69.9766082764,4.9544534683,144.2506103516,0.1383378804,0.9925462604,7373.845703125,0,0,552.6503295898,-9377253,5171215
75.20055248003801,1.8965437412,-13.0642299652,74.974937439,5.1887493134,144.7570037842,0.1383577287,0.9918885231,7368.9594726562,0,0,552.5319824219,-9377255,5171210.5
78.39988540021167,5.5648164749,0.9806524515,79.973274231,5.4100174904,144.7879943848,0.138376981,0.9912703633,7364.3666992188,0,0,552.5188598633,-9377258,5171206.5
84.24392750829799,6.7030930519,11.412771225,84.9716033936,5.618001461,144.7914428711,0.1383950561,0.9906801581,7359.9819335938,0,0,552.5121459961,-9377261,5171202
88.7885146321883,4.297911644,12.9144849777,89.9699325562,5.8186016083,144.7931976318,0.1384123266,0.9901005626,7355.6762695312,0,0,552.5060424805,-9377263,5171197.5
90.61282729013817,4.6588716507,9.8177833557,94.9682617188,6.0121293068,144.7947845459,0.1384292841,0.989520967,7351.3701171875,0,0,552.5001220703,-9377264,5171193
95.34450456551633,4.0518536568,6.76567173,99.9665908813,6.1999812126,144.7963409424,0.1384462416,0.9889413714,7347.0639648438,0,0,552.4942016602,-9377265,5171188
96.23186957822433,0.656073153,4.2834720612,104.9649200439,6.3869667053,144.7978973389,0.1384631991,0.9883617759,7342.7583007812,0,0,552.48828125,-9377267,5171183
96.23186957822433,0,2.2662591934,109.9632492065,6.573952198,144.7994537354,0.1384801567,0.9877821803,7338.4521484375,0,0,552.4823608398,-9377267,5171178
96.23186957822433,0,0.6369299293,114.9615783691,6.7609376907,144.800994873,0.1384971142,0.9872025847,7334.1459960938,0,0,552.4764404297,-9377268,5171173
96.23186957822433,0,-0.6029720306,119.9599075317,6.9479236603,144.8025512695,0.1385140717,0.9866229892,7329.8403320312,0,0,552.4705200195,-9377269,5171168.5
96.23186957822433,0,-1.3680028915,124.9582366943,7.134909153,144.804107666,0.1385310292,0.986043334,7325.5341796875,0,0,552.4645996094,-9377270,5171163.5
96.23186957822433,0,-1.5351637602,129.9565582275,7.3218946457,144.8056488037,0.1385479867,0.9854637384,7321.2280273438,0,0,552.4586791992,-9377271,5171158.5
96.23186957822433,0,-1.0382894278,134.9548950195,7.5088801384,144.8072052002,0.1385649443,0.9848841429,7316.921875,0,0,552.4527587891,-9377272,5171153.5
96.23186957822433,0,-0.0099310502,139.9532165527,7.6958656311,144.8087615967,0.1385819018,0.9843044877,7312.6157226562,0,0,552.4468383789,-9377273,5171148.5
96.23186957822433,0,1.1744847298,144.9515533447,7.8828511238,144.8103027344,0.1385988593,0.9837248921,7308.3095703125,0,0,552.4409179688,-9377274,5171143.5
96.23186957822433,0,2.0228669643,149.9498748779,8.0698366165,144.8118591309,0.1386158168,0.983145237,7304.0034179688,0,0,552.4350585938,-9377275,5171139
96.23186957822433,0,2.1183059216,154.9482116699,8.2568225861,144.8134155273,0.1386327744,0.9825656414,7299.697265625,0,0,552.4291381836,-9377275,5171134
96.23186957822433,0,1.3347066641,159.9465484619,8.4438085556,144.814956665,0.1386497319,0.9819859862,7295.3911132812,0,0,552.4232177734,-9377276,5171129
96.23186957822433,0,-0.1059979796,164.9448699951,8.6307935715,144.8165130615,0.1386666894,0.9814063311,7291.0849609375,0,0,552.4172973633,-9377277,5171124
96.23186957822433,0,-1.813919425,169.9432067871,8.817779541,144.818069458,0.1386836469,0.9808267355,7286.7783203125,0,0,552.4113769531,-9377278,5171119
96.23186957822433,0,-3.3921055794,174.9415283203,9.0047645569,144.8196105957,0.1387006044,0.9802470803,7282.4721679688,0,0,552.405456543,-9377278,5171114
96.23186957822433,0,-4.493803978,179.9398651123,9.1917505264,144.8211669922,0.138717562,0.9796674252,7278.166015625,0,0,552.3995361328,-9377279,5171109
96.23186957822433,0,-4.8369140625,184.9381866455,9.3787355423,144.8227233887,0.1387345195,0.97908777,7273.8598632812,0,0,552.3936157227,-9377280,5171104.5
96.23186957822433,0,-4.1820912361,189.9365234375,9.5657215118,144.8242645264,0.138751477,0.9785081148,7269.5532226562,0,0,552.3876953125,-9377282,5171099.5
96.23186957822433,0,-2.3544745445,194.9348449707,9.7527074814,144.8258209229,0.1387684345,0.9779284596,7265.2470703125,0,0,552.3817749023,-9377283,5171094.5
96.23186957822433,0,0.150522843,199.9331817627,9.9396924973,144.8273773193,0.138785392,0.9773488045,7260.9404296875,0,0,552.3758544922,-9377285,5171090
96.23186957822433,0,1.0110287666,204.9315032959,10.1266784668,144.8289337158,0.1388023496,0.9767691493,7256.6342773438,0,0,552.369934082,-9377286,5171085
96.23186957822433,0,-2.2286040783,209.9298400879,10.3136634827,144.8304748535,0.1388193071,0.9761894941,7252.3276367188,0,0,552.3640136719,-9377287,5171080.5
