a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
35,152.5,75,-600,400,35,70,80,65,62.5,6.92847784112292,0.491825407549585
22.5,244.166666666667,-125,-466.666666666667,400,22.5,70,80,65,75,6.92739825794181,0.326864347322784
10,335.833333333333,-324.999999999999,-333.333333333334,400,10,70,80,65,87.5,6.92358261380044,0.161379931530762
10,590,-2016.66666666666,2800,-1333.33333333333,10,70,67.5,77.5,50,6.92339588777283,0.182639442892004
28.75,583.749999999999,-2529.16666666666,3899.99999999999,-1933.33333333333,28.75,70,55,77.5,50,6.90184264735396,0.436527094708433
28.75,329.583333333333,-837.499999999999,766.666666666664,-199.999999999999,28.75,70,67.5,65,87.5,6.89895459877035,0.418673321993151
28.75,71.25,329.166666666666,-699.999999999999,333.333333333333,28.75,57.5,80,77.5,62.5,6.88587409522197,0.400294098804362
16.25,162.916666666667,129.166666666667,-566.666666666667,333.333333333333,16.25,57.5,80,77.5,75,6.88529301824193,0.234741920318765
28.75,204.583333333333,-70.8333333333332,-433.333333333333,333.333333333333,28.75,70,80,65,62.5,6.87997961043511,0.409864841163768
16.25,296.25,-270.833333333333,-300.000000000001,333.333333333334,16.25,70,80,65,75,6.879043537132,0.244360884227922
28.75,196.25,-437.499999999999,499.999999999999,-199.999999999999,28.75,57.5,67.5,77.5,87.5,6.86255316975005,0.409103485892353
35,156.666666666667,-383.333333333333,533.333333333333,-266.666666666666,35,57.5,67.5,77.5,75,6.86122996401927,0.491938697795496
22.5,635.833333333333,-2675,4066.66666666666,-2000,22.5,70,55,77.5,50,6.85314592555626,0.35445555177423
22.5,381.666666666666,-983.333333333332,933.333333333331,-266.666666666665,22.5,70,67.5,65,87.5,6.85035065159107,0.336567248587317
35,31.6666666666667,383.333333333333,-666.666666666666,266.666666666667,35,57.5,80,77.5,50,6.83782041223272,0.483135392670879
22.5,123.333333333333,183.333333333333,-533.333333333333,266.666666666666,22.5,57.5,80,77.5,62.5,6.83748802504211,0.31815029829926
10,215,-16.6666666666665,-400,266.666666666667,10,57.5,80,77.5,75,6.83705016706247,0.151720741629576
35,165,-16.6666666666666,-400,266.666666666667,35,70,80,65,50,6.83214238159152,0.492699596314661
22.5,256.666666666667,-216.666666666666,-266.666666666667,266.666666666667,22.5,70,80,65,62.5,6.83153822361224,0.327740909907733
10,348.333333333333,-416.666666666666,-133.333333333334,266.666666666667,10,70,80,65,75,6.83075234684828,0.162420986878976
28.75,208.75,-529.166666666666,699.999999999999,-333.333333333333,28.75,57.5,67.5,77.5,75,6.81270466664199,0.409978239064989
28.75,342.083333333333,-929.166666666665,966.666666666665,-333.333333333332,28.75,70,67.5,65,75,6.80669003799701,0.419547987020182
16.25,687.916666666666,-2820.83333333333,4233.33333333333,-2066.66666666666,16.25,70,55,77.5,50,6.80450211193976,0.27489697976431
16.25,433.75,-1129.16666666666,1100,-333.333333333331,16.25,70,67.5,65,87.5,6.80178202628205,0.254092260401233
28.75,83.75,237.5,-500,200,28.75,57.5,80,77.5,50,6.78935244617386,0.401168937287796
16.25,175.416666666667,37.5000000000002,-366.666666666667,200,16.25,57.5,80,77.5,62.5,6.7891575094408,0.235621246372499
28.75,217.083333333333,-162.5,-233.333333333334,200,28.75,70,80,65,50,6.78361772567912,0.410739587731722
16.25,308.75,-362.499999999999,-100.000000000001,200,16.25,70,80,65,62.5,6.78314974835532,0.24524003734469
