a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
33,410.666666666667,-1212,1429.33333333333,-575.999999999999,33,80,78,80,85,7.96048900567439,0.48270844441104
33,401.777777777777,-1149.77777777778,1304.88888888889,-504.888888888887,33,80,78,78.3333333333333,85,7.90055756176999,0.482085615944183
33,304.333333333333,-640.222222222222,517.333333333333,-124.444444444444,33,76.6666666666667,82,80,90,7.89650616898145,0.475186298287789
33,309.333333333333,-676.888888888889,597.333333333333,-177.777777777778,33,76.6666666666667,82,80,85,7.89561669611449,0.475535969434683
33,295.444444444444,-577.999999999999,392.888888888887,-53.3333333333325,33,76.6666666666667,82,78.3333333333333,90,7.85740285745254,0.474563452431166
33,357.333333333333,-980.888888888888,1109.33333333333,-433.777777777777,33,76.6666666666667,78,80,85,7.8411087144894,0.478912423514737
33,392.888888888889,-1087.55555555555,1180.44444444444,-433.777777777777,33,80,78,76.6666666666667,85,7.84005586183806,0.481462786116176
33,387.888888888889,-1050.88888888889,1100.44444444444,-380.444444444443,33,80,78,76.6666666666667,90,7.83607200499777,0.4811131226998
33,300.444444444444,-614.666666666665,472.888888888887,-106.666666666666,33,76.6666666666667,82,78.3333333333333,85,7.83501793773421,0.474913124437836
33,286.555555555556,-515.777777777778,268.444444444445,17.7777777777776,33,76.6666666666667,82,76.6666666666667,90,7.80277513963071,0.473940605032339
33,379,-988.666666666666,975.999999999999,-309.333333333333,33,80,78,75,90,7.79993460315621,0.480490290715804
33,251,-409.111111111111,197.333333333333,17.7777777777779,33,73.3333333333333,82,80,90,7.79057545476119,0.471390169162881
33,348.444444444444,-918.666666666665,984.888888888887,-362.666666666666,33,76.6666666666667,78,78.3333333333333,85,7.78072635637354,0.478289586561747
33,384,-1025.33333333333,1056,-362.666666666666,33,80,78,75,85,7.77948386452186,0.480839954911916
33,256,-445.777777777778,277.333333333333,-35.5555555555555,33,73.3333333333333,82,80,85,7.77584626532032,0.471739845652328
33,291.555555555556,-552.444444444444,348.444444444445,-35.5555555555557,33,76.6666666666667,82,76.6666666666667,85,7.7744032191802,0.474290277907205
