a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
25,323.75,-679.375,607.5,-196.875,25,77.5,80,80,7.60603128693332,0.366835670185834
20,372.5,-838.75,810,-281.25,20,77.5,80,82.5,7.6058425625639,0.301518489705563
15,421.25,-998.124999999999,1012.5,-365.624999999999,15,77.5,80,85,7.60460761802007,0.235925308057643
25,272.5,-479.375,371.25,-106.875,25,75,82.5,82.5,7.60442752297213,0.363172587020469
25,425,-1135,1215,-449.999999999999,25,80,75,80,7.60393248421356,0.374046663885733
20,473.75,-1294.375,1417.5,-534.375,20,80,75,82.5,7.60371459630433,0.308744012507002
20,321.25,-638.75,573.75,-191.25,20,75,82.5,85,7.60317366135484,0.297847953120295
15,522.5,-1453.75,1620,-618.749999999999,15,80,75,85,7.60256495353222,0.244477244036122
25,373.75,-934.999999999999,978.749999999999,-360,25,77.5,77.5,82.5,7.6020917858637,0.370383974019662
20,422.5,-1094.375,1181.25,-444.374999999999,20,77.5,77.5,85,7.60090421158522,0.305073980209838
25,322.5,-734.999999999999,742.499999999999,-269.999999999999,25,75,80,85,7.59932856465163,0.366721085596291
25,423.75,-1190.625,1350,-523.124999999999,25,77.5,75,85,7.5973327272554,0.373932090532801
17.5,390,-819.375,708.75,-219.375,17.5,80,80,77.5,7.5841820607763,0.268297375967469
22.5,341.25,-660,506.25,-135,22.5,80,80,75,7.58392820526884,0.333745395562839
17.5,440,-1075,1080,-382.5,17.5,80,77.5,80,7.580475831535,0.271857136835409
22.5,391.25,-915.624999999999,877.499999999999,-298.124999999999,22.5,80,77.5,77.5,7.58037759059507,0.337297057610199
22.5,340,-715.625,641.25,-208.125,22.5,77.5,80,80,7.57893575637208,0.333630711503335
17.5,388.75,-875,843.75,-292.5,17.5,77.5,80,82.5,7.57876136289391,0.268182453063427
22.5,288.75,-515.625,405,-118.125,22.5,75,82.5,82.5,7.57735835808276,0.329964132643797
22.5,441.25,-1171.25,1248.75,-461.249999999999,22.5,80,75,80,7.57680744338365,0.340848501500618
