a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
25,356.25,-802.499999999999,776.249999999999,-270,25,80,82.5,85,7.88468154062623,0.36916011350033
22.5,372.5,-838.749999999999,809.999999999999,-281.25,22.5,80,82.5,85,7.85758119050212,0.335957355826136
20,388.75,-874.999999999999,843.749999999999,-292.5,20,80,82.5,85,7.83048969872789,0.302693669421044
25,390,-971.249999999999,1012.5,-371.249999999999,25,80,80,85,7.82678677092763,0.371556726245716
25,491.25,-1426.875,1620,-624.374999999999,25,82.5,75,85,7.82496290776989,0.378767218244109
17.5,405,-911.249999999999,877.499999999999,-303.75,17.5,80,82.5,85,7.80340452026946,0.269359038920361
22.5,406.25,-1007.5,1046.25,-382.499999999999,22.5,80,80,85,7.799667332032,0.33835623045661
22.5,507.5,-1463.125,1653.75,-635.624999999999,22.5,82.5,75,85,7.79781534035131,0.345573434772178
15,421.25,-947.499999999999,911.249999999999,-314.999999999999,15,80,82.5,85,7.77631436029497,0.235946530294838
15,522.5,-1403.125,1518.75,-568.124999999999,15,82.5,77.5,85,7.77420043294089,0.244506423543229
25,373.75,-884.375,877.499999999999,-309.375,25,80,80,82.5,7.77372366348031,0.370405138025975
20,422.5,-1043.75,1080,-393.749999999999,20,80,80,85,7.77255177804835,0.305095170315906
25,322.5,-684.375,641.249999999999,-219.375,25,77.5,82.5,85,7.77097220440049,0.366742250324395
20,523.75,-1499.375,1687.5,-646.874999999999,20,82.5,75,85,7.77067048334796,0.31232020345466
25,423.75,-1140,1248.75,-472.499999999999,25,80,77.5,85,7.76893096912068,0.373953253844835
22.5,390,-920.625,911.249999999999,-320.625,22.5,80,80,82.5,7.74661826611927,0.337203556292755
17.5,438.75,-1080,1113.75,-404.999999999999,17.5,80,80,85,7.74543822976101,0.27176342696615
22.5,491.25,-1376.25,1518.75,-573.75,22.5,82.5,75,82.5,7.74462110469085,0.344420903302536
22.5,338.75,-720.624999999999,674.999999999999,-230.625,22.5,77.5,82.5,85,7.74388387900748,0.333537204365427
17.5,540,-1535.625,1721.25,-658.124999999999,17.5,82.5,75,85,7.74352906526657,0.27952594980165
22.5,440,-1176.25,1282.5,-483.749999999999,22.5,80,77.5,85,7.74179822360711,0.340755005799841
25,357.5,-797.5,742.499999999999,-247.5,25,80,80,80,7.71971652314936,0.369253530054779
20,406.25,-956.875,944.999999999999,-331.875,20,80,80,82.5,7.71952127318087,0.30394123452079
15,455,-1116.25,1147.5,-416.249999999999,15,80,80,85,7.71831751761379,0.238786075349507
25,306.25,-597.5,506.25,-157.5,25,77.5,82.5,82.5,7.71803682031115,0.365590579320836
20,507.5,-1412.5,1552.5,-585,20,82.5,75,82.5,7.71749492262949,0.311166425864395
20,355,-756.875,708.75,-241.875,20,77.5,82.5,85,7.71680712623541,0.300270867084972
15,556.25,-1571.875,1755,-669.374999999999,15,82.5,75,85,7.71638758431944,0.247351690788654
25,407.5,-1053.125,1113.75,-410.624999999999,25,80,77.5,82.5,7.71581023151642,0.372801706499596
20,456.25,-1212.5,1316.25,-494.999999999999,20,80,77.5,85,7.71466856931203,0.307496561369319
25,356.25,-853.124999999999,877.499999999999,-320.624999999999,25,77.5,80,85,7.71303976730432,0.369138949249051
25,457.5,-1308.75,1485,-573.749999999999,25,80,75,85,7.71113262538099,0.376349696860933
22.5,373.75,-833.749999999999,776.249999999999,-258.75,22.5,80,80,80,7.69261572602693,0.336050859121141
17.5,422.5,-993.125,978.75,-343.125,17.5,80,80,82.5,7.6924327227139,0.270608103570931
22.5,322.5,-633.75,540,-168.75,22.5,77.5,82.5,82.5,7.69095452936354,0.332384433932193
17.5,523.75,-1448.75,1586.25,-596.25,17.5,82.5,75,82.5,7.69037506464495,0.278161159900576
17.5,371.25,-793.125,742.5,-253.125,17.5,77.5,82.5,85,7.68973997257918,0.266933327570028
22.5,423.75,-1089.375,1147.5,-421.874999999999,22.5,80,77.5,82.5,7.6886931407563,0.339602379326532
17.5,472.5,-1248.75,1350,-506.249999999999,17.5,80,77.5,85,7.68754042258881,0.274167698611724
22.5,372.5,-889.374999999999,911.249999999998,-331.874999999999,22.5,77.5,80,85,7.68592628145211,0.335936179263977
22.5,473.75,-1345,1518.75,-584.999999999999,22.5,80,75,85,7.68398692721332,0.343153682293754
20,390,-870,810,-270,20,80,80,80,7.66552538841774,0.302787273292809
25,341.25,-710.624999999999,607.499999999999,-185.625,25,80,80,77.5,7.66542108965746,0.368101902270089
15,438.75,-1029.375,1012.5,-354.375,15,80,80,82.5,7.66534965834956,0.237419054856074
25,290,-510.625,371.25,-95.6249999999999,25,77.5,82.5,80,7.66404880134667,0.364438888308677
20,338.75,-670,573.75,-180,20,77.5,82.5,82.5,7.66388554862938,0.299116825012896
20,491.25,-1325.625,1417.5,-523.125,20,82.5,75,80,7.6634655453685,0.310012623049442
15,540,-1485,1620,-607.499999999999,15,82.5,75,82.5,7.66326174432335,0.245984974827354
15,387.5,-829.374999999999,776.249999999999,-264.375,15,77.5,82.5,85,7.66267129744456,0.23351776673828
25,391.25,-966.249999999999,978.749999999999,-348.749999999999,25,80,77.5,80,7.66178836624761,0.371650139532663
20,440,-1125.625,1181.25,-433.125,20,80,77.5,82.5,7.6615825986365,0.306342678357969
15,488.75,-1285,1383.75,-517.499999999999,15,80,77.5,85,7.6604063370989,0.24163176510875
25,340,-766.25,742.5,-258.75,25,77.5,80,82.5,7.66003216977731,0.367987319657888
20,388.75,-925.624999999999,944.999999999999,-343.124999999999,20,77.5,80,85,7.65881849342734,0.302672478714451
25,441.25,-1221.875,1350,-511.874999999999,25,80,75,82.5,7.65796882361346,0.375198190118792
25,288.75,-566.25,506.25,-168.75,25,75,82.5,85,7.65730110643284,0.364324299931949
20,490,-1381.25,1552.5,-596.249999999999,20,80,75,85,7.65684519863916,0.309897842877933
25,390,-1021.875,1113.75,-421.874999999999,25,77.5,77.5,85,7.6551575343652,0.37153556246558
17.5,406.25,-906.25,843.749999999999,-281.25,17.5,80,80,80,7.63844680983972,0.269452753243066
22.5,357.5,-746.874999999999,641.249999999999,-196.874999999999,22.5,80,80,77.5,7.63832877606342,0.334898138893751
22.5,306.25,-546.875,405,-106.875,22.5,77.5,82.5,80,7.6369728271473,0.331231640292745
17.5,355,-706.25,607.5,-191.25,17.5,77.5,82.5,82.5,7.63682880500862,0.265777891758139
17.5,507.5,-1361.875,1451.25,-534.374999999999,17.5,82.5,75,80,7.63635828545011,0.276796326127927
22.5,407.5,-1002.5,1012.5,-359.999999999999,22.5,80,77.5,80,7.63467564183441,0.338449729946176
17.5,456.25,-1161.875,1215,-444.375,17.5,80,77.5,82.5,7.63447834265418,0.273012431173698
22.5,356.25,-802.5,776.25,-270,22.5,77.5,80,82.5,7.63293297913067,0.334783456937576
17.5,405,-961.874999999999,978.749999999999,-354.374999999999,17.5,77.5,80,85,7.63171558553891,0.269337832787451
22.5,457.5,-1258.125,1383.75,-523.124999999999,22.5,80,75,82.5,7.63083839125011,0.342001103299773
22.5,305,-602.5,540,-180,22.5,75,82.5,85,7.63022943762877,0.331116951653196
17.5,506.25,-1417.5,1586.25,-607.499999999999,17.5,80,75,85,7.62970617234849,0.276655541652806
22.5,406.25,-1058.125,1147.5,-433.124999999999,22.5,77.5,77.5,85,7.62802905559789,0.338335054440066
15,422.5,-942.5,877.499999999999,-292.5,15,80,80,80,7.61137827467288,0.236051985457531
20,373.75,-783.125,675,-208.125,20,80,80,77.5,7.61124879959156,0.301633286599727
25,325,-623.75,472.5,-123.75,25,80,80,75,7.61101162991456,0.366950254610106
20,322.5,-583.125,438.75,-118.125,20,77.5,82.5,80,7.60991160622845,0.297962757375494
15,371.25,-742.5,641.25,-202.5,15,77.5,82.5,82.5,7.60977980722773,0.232360870174398
15,523.75,-1398.125,1485,-545.624999999999,15,82.5,75,80,7.609255779979,0.244618210332027
20,423.75,-1038.75,1046.25,-371.25,20,80,77.5,80,7.60757136176603,0.30518876998174
25,375,-879.374999999999,843.749999999999,-286.874999999999,25,80,77.5,77.5,7.60748645951469,0.370498552881507
15,472.5,-1198.125,1248.75,-455.625,15,80,77.5,82.5,7.60737863448804,0.240264846160205
