0,207.8289912,433.3902722,655.5983347,877.4033147,1093.984972
0.307692308,0.295751687,3.348706653,0.217609008,4.933969813,10.11315016
0.615384615,1.334026641,0.179605891,3.136061857,7.917548761,13.68266792
0.923076923,2.349330402,2.433876947,5.886928027,10.99177327,17.31606506
1.230769231,3.324245441,4.498794214,8.287396882,13.85581977,20.739059
1.538461538,4.242242144,6.05772039,10.25410757,16.34817928,23.80919732
1.846153846,5.088078567,7.176779566,11.77661154,18.41074394,26.48083115
2.153846154,5.848175972,7.935789248,12.89518541,20.05871593,28.77586891
2.461538462,6.510962386,8.420292961,13.68254046,21.3557346,30.75970448
2.769230769,7.067176578,8.715268474,14.22900363,22.39365482,32.52175173
3.076923077,7.510125132,8.900312323,14.63077194,23.27644627,34.16005411
3.384615385,7.83588558,9.04611481,14.980869,24.10771854,35.76947361
3.692307692,8.043448941,9.212052708,15.36245787,24.98141117,37.43299775
4,8.134795391,9.44473959,15.84418969,25.97522106,39.21573696
4.307692308,8.114897285,9.777385897,16.47729152,27.14637165,41.16121674
4.615384615,7.991644239,10.22983276,17.29412003,28.52935951,43.28960059
4.923076923,7.775685569,10.80913498,18.30793054,30.13534358,45.59750957
5.230769231,7.480186005,11.51057955,19.51363222,31.95287167,48.05913358
5.538461538,7.120491244,12.31903681,20.88932155,33.94966616,50.62835755
5.846153846,6.713700675,13.21055147,22.39840594,36.07521795,53.2416523
6.153846154,6.278145354,14.1540904,23.99214878,38.26396309,55.82150612
6.461538462,5.832770147,15.11337371,25.6124859,40.43884138,58.28019742
6.769230769,5.396419857,16.04872439,27.1949806,42.51505937,60.52373282
7.076923077,4.987030066,16.91888044,28.67180184,44.40390313,62.4557972
7.384615385,4.620724424,17.6827215,29.97462583,46.0164669,63.98158428
7.692307692,4.310821168,18.30086975,31.03737657,47.26718467,65.01139604
8,4.066752716,18.73713228,31.7987356,48.07707036,65.46391913
8.307692308,3.892903366,18.95975877,32.2043644,48.37659085,65.26910432
8.615384615,3.787371312,18.94249507,32.2087962,48.10811288,64.37059234
8.923076923,3.74066243,18.66541931,31.77696547,47.227881,62.72764536
9.230769231,3.734324609,18.11555273,30.88535498,45.70749855,60.31655845
9.538461538,3.739532752,17.28724282,29.52275052,43.53489752,57.13153927
9.846153846,3.715635989,16.18232113,27.69060292,40.71479592,53.18505666
10.15384615,3.608680086,14.81004259,25.40300589,37.26865305,48.50767112
10.46153846,3.349919571,13.18681732,22.68630618,33.23414332,43.14737018
10.76923077,2.854335654,11.33574923,19.57836962,28.66417938,37.16844148
11.07692308,2.019177646,9.285999336,16.12753296,23.62552319,30.64992495
11.38461538,0.722547237,7.071994186,12.39127724,18.19703151,23.68369236
11.69230769,1.177953259,4.732502316,8.434662582,12.46758824,16.37220935
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
